Date;ICLN;BOTZ;IWDA.AS;SXR8.DE;ISPY.MI;BCHN.MI;TLT;ISP.MI;STLA.MI;ENI.MI;RACE.MI;ENEL.MI;STM.MI;G.MI;UCG.MI;CNHI.MI;SRG.MI;TEN.MI;TRN.MI;MONC.MI;TES.MI;REC.MI;SRI.MI;DIA.MI;CHL.MI;A2A.MI;CFR.SW;AA;BA;CAT;KO;DD;GE;HPQ;IBM;DIS;MMM;MSFT;AAPL;TSLA;BRK-B;NVDA;TSM;JNJ;V;JPM;BAC;WMT;TCEHY;PG;XOM;CVX;PFE;ABBV;BHP;CSCO;VZ;BABA;PEP;ORCL;ABT;CMCSA;MRK;GOOG;CL=F;GC=F;NG=F;LBS=F;CT=F;ZW=F;ZC=F;KC=F;HG=F;ES=F;YM=F;NQ=F;FTSEMIB.MI;^HSI;^N225;^TNX;^VIX;BTC-EUR;EURUSD=X;EURJPY=X;EURGBP=X;EURCHF=X;EURCAD=X;EURAUD=X;EURNZD=X;EURCNY=X;EURHKD=X;EURSEK=X;EURKRW=X;EURSGD=X;EURNOK=X;EURZAR=X;EURTRY=X;EURRUB=X
2017.03.14;7,796393;16,411024;43,830002;210,910004;9,73;NaN;102,86824;1,411362;6,30056;10,052623;59,602173;3,014478;13,376966;9,090164;11,448055;7,891957;2,718217;11,870447;3,398755;18,162979;0,499;26,943924;3,195093;55,075012;0,033;0,997046;68,279556;33,803768;167,133698;79,078278;34,939865;79,415344;165,292953;14,560841;126,702049;107,550323;156,058304;59,541634;32,609665;17,200001;174,729996;25,117922;26,132956;108,434921;86,043663;77,25415;22,269806;63,376537;25,664377;77,135284;60,07547;82,986664;26,067596;50,259605;24,378923;28,330839;37,280251;104,25;91,942772;38,774632;40,405315;32,930565;51,237961;42,280998;47,720001;1201,900024;2,938;346,200012;77,150002;412;353,75;139,600006;2,624;2366,5;20847;5381,5;19537;NaN;NaN;2,595;12,3;1168,70874;1,065144;122,387001;0,87256;1,07304;1,43259;1,40766;1,53951;7,3543;8,26985;9,523;1221,829956;1,50737;9,12205;13,97306;3,98392;62,921532
2017.03.15;7,905689;16,556599;44,084999;212,279999;9,83;NaN;104,124741;1,426513;6,421959;10,191565;60,224022;3,005804;13,536214;9,20023;11,675555;8,077442;2,76252;12,145562;3,409629;18,422449;0,496;27,236792;3,057104;55,489101;0,0331;0,999304;67,967995;34,743042;167,115036;80,36956;35,064735;80,363136;166,523956;14,644188;126,766937;107,128983;156,771652;59,855934;32,954548;17,048668;174,669998;25,307947;26,719086;110,065079;86,399155;77,43988;22,146669;63,251106;25,981565;77,474358;60,824627;84,161591;26,379917;50,933113;25,599558;28,430483;37,86935;103,690002;93,431129;39,010239;40,874294;33,229851;51,637024;42,360001;48,860001;1200,099976;2,981;340,899994;78,080002;436;363,5;139,199997;2,6455;2383,75;20944;5415,25;19774;23792,849609;19577,380859;2,508;11,63;1164,052124;1,061244;121,669998;0,87286;1,07119;1,42942;1,4022;1,5307;7,3281;8,2411;9,5132;1218,079956;1,50171;9,13581;13,94786;3,96852;63,018829
2017.03.16;7,960334;16,614828;43,98;210,809998;9,88;NaN;103,597565;1,440499;6,543358;10,427773;61,898239;3,07231;13,564321;9,439785;11,862428;8,156935;2,77967;12,226478;3,45623;18,579988;0,498;27,443525;3,167167;56,45533;0,0337;1,013601;69,125275;34,980335;166,628738;79,930504;35,172962;79,639793;166,468002;14,710863;127,798096;106,975761;156,041885;59,75425;33,008507;17,469999;174,080002;25,618895;27,137747;109,638351;86,514481;77,363899;22,181849;63,125626;26,606619;77,508263;60,876572;83,373161;26,227564;50,435642;25,565838;28,422171;37,793835;105,629997;93,456383;41,438747;40,567665;33,168228;51,222004;42,438999;48,75;1226,5;2,902;363,5;78,169998;436;366;139,75;2,6655;2382,75;20940;5413;20110;24288,279297;19590,140625;2,522;11,21;1102,887695;1,073791;121,764999;0,87423;1,0737;1,42757;1,39328;1,52809;7,4143;8,33824;9,5292;1210,060059;1,50481;9,12493;13,7652;3,94709;62,781281
2017.03.17;7,933012;16,760403;43,965;210,580002;9,89;NaN;104,247787;1,446326;6,519078;10,365247;60,989376;3,043394;13,620524;9,452733;11,862428;8,002364;2,806824;12,323578;3,495064;18,756056;0,507;27,477974;3,188522;56,45533;0,0334;1,015858;69,258804;34,574966;168,414825;79,982178;34,989811;79,851814;167,195435;14,635856;126,651566;107,023636;157,722778;59,966881;32,84428;17,433332;172,820007;26,176636;27,288469;109,296921;86,706635;76,553459;21,865219;62,632744;26,653265;77,135284;60,824627;83,234024;26,143772;50,274921;25,747919;28,422171;38,058178;105,610001;93,666603;41,375309;40,75705;32,974575;50,998531;42,605999;48,779999;1229,800049;2,948;361,799988;78,360001;436,25;367,5;140,800003;2,6795;2384,5;20972,490234;5417,25;20074;24309,929688;19521,589844;2,501;11,28;1024,327271;1,07747;122,096001;0,8721;1,07302;1,43512;1,4037;1,5417;7,4202;8,36242;9,489;1213,630005;1,50941;9,1599;13,7547;3,91039;62,097431
2017.03.20;7,905689;16,780783;43,895;210,149994;10;NaN;104,695923;1,446326;6,40375;10,316616;60,941551;3,028936;13,488835;9,439785;11,716178;8,00678;2,806824;12,105104;3,487297;18,450249;0,531;26,978378;3,196736;57,283527;0,0331;1,030908;69,036255;34,50576;167,7509;82,125717;35,114681;80,43795;166,412079;14,635856;126,687622;107,93338;158,255753;60,022324;33,189175;17,461332;172,070007;27,010775;27,506168;109,305481;85,688133;76,004707;21,495813;62,713394;27,576843;77,321777;60,824627;83,218575;26,189478;50,359108;25,930002;28,46369;37,944889;107,25;93,464775;40,985672;40,567665;32,99218;51,166138;42,419998;48,220001;1233,599976;3,041;371;77,330002;430,25;363,5;144;2,6555;2370,25;20868;5418,5;19969;24501,990234;19521,589844;2,473;11,34;982,049377;1,074299;121,035004;0,86737;1,0715;1,43243;1,39367;1,52843;7,407;8,33819;9,48127;1181,292847;1,50549;9,09002;13,64121;3,89856;61,459301
2017.03.21;7,750854;16,624533;43,349998;206,899994;9,855;NaN;105,565834;1,459146;6,160954;10,365247;59,79351;3,050623;12,91504;9,420361;11,618679;7,790381;2,806824;11,943272;3,499724;18,635588;0,5235;26,892239;3,206592;57,007465;0,034;1,038433;67,923485;32,844727;164,543442;79,568962;35,381084;78,667068;164,453583;14,294126;125,375381;107,014069;157,534241;59,356739;32,809078;16,712;169,470001;26,137146;27,196362;108,605621;84,612;73,776001;20,246874;62,641697;27,166365;77,296333;60,698517;83,512314;26,090448;50,014702;24,925171;28,131552;37,884464;105,089996;93,986122;40,632263;40,405315;32,631271;51,006519;41,522999;47,34;1246,099976;3,093;370,200012;76,839996;426,5;361,25;143,5;2,61;2342,25;20627;5338,25;19919;24593,119141;19455,880859;2,436;12,47;1036,385498;1,073768;120,850998;0,8681;1,07245;1,43204;1,3887;1,52308;7,4056;8,3363;9,47263;1195,22998;1,499;9,1051;13,56743;3,89142;61,654121
2017.03.22;7,723529;16,624533;43,189999;206,460007;9,785;NaN;105,987602;1,460312;6,124534;10,344406;60,415363;3,07231;13,103169;9,277924;11,764929;7,746219;2,806824;11,959455;3,518365;18,663387;0,534;27,150652;3,198379;57,191505;0,0334;1,036928;68,457611;33,309422;165,497238;79,568962;35,281185;78,30542;165,237;14,360804;126,024277;107,330063;157,608002;60,114773;33,179783;17,000668;169,300003;26,67021;27,3722;107,760666;85,054008;73,89418;20,176516;62,955341;26,951794;77,126831;60,64661;83,782852;26,258034;50,144798;24,999352;28,314232;37,54459;106,089996;94,196327;40,586967;40,41433;32,604866;50,679298;41,4795;48,040001;1249,300049;3,011;373,299988;77,339996;422,25;358,75;141,699997;2,622;2342,5;20596;5365,75;19953;24320,410156;19041,380859;2,396;12,81;972,326233;1,081245;120,587997;0,86625;1,07404;1,4443;1,40883;1,53558;7,4341;8,39616;9,51157;1213,380005;1,51388;9,15544;13,71206;3,92722;62,157372
2017.03.23;7,723529;16,721582;43,52;207,869995;10,01;NaN;105,838226;1,483621;6,075974;10,441666;63,04628;3,1099;13,338331;9,323245;11,773054;7,944952;2,806824;11,967546;3,527685;18,904324;0,534;27,331543;3,244375;57,97369;0,0342;1,060255;69,614883;32,93372;165,759064;79,396797;35,106354;79,602409;165,74057;14,344134;126,053101;107,483292;157,542389;59,966881;33,062469;16,985332;169,889999;26,428356;27,263348;107,453407;85,380661;73,776001;20,290852;62,605839;26,933138;76,940315;60,720783;83,380898;26,12092;50,244308;24,830755;28,197981;37,491726;108,25;93,99453;40,731941;40,37825;32,763309;50,503716;40,879002;47,700001;1246,900024;3,051;376,700012;77,269997;421;356,75;140,5;2,6365;2340;20588;5354,5;20167;24327,699219;19085,310547;2,418;13,12;963,173462;1,079016;120,178001;0,86498;1,07053;1,43856;1,40713;1,53286;7,4176;8,38001;9,49395;1204,25;1,5096;9,1334;13,55242;3,90453;62,344501
2017.03.24;7,741746;16,786606;43,369999;206,710007;10,025;NaN;106,216064;1,478958;6,100255;10,413878;63,23761;3,09978;13,912124;9,446259;11,691805;7,936118;2,806824;12,048462;3,541665;18,848724;0,5385;27,271244;3,342938;57,835651;0,0338;1,056493;69,83744;32,192188;164,412521;79,327942;35,064735;78,667068;166,300125;14,360804;125,339256;107,387527;157,025848;60,068542;32,996777;17,544001;168,660004;26,522142;27,472681;107,094948;85,697762;73,691574;20,334831;62,381809;27,073072;76,770813;60,253464;83,47364;25,900009;50,221344;24,6217;28,29763;37,521931;108,040001;94,280457;40,460098;40,342175;32,904156;50,423912;40,7215;47,970001;1248,199951;3,076;376,600006;77,470001;424,75;356,25;137,600006;2,6235;2344,75;20575;5378,75;20188;24358,269531;19262,529297;2,4;12,96;868,315308;1,078388;119,698997;0,8615;1,071;1,4389;1,4126;1,53423;7,4157;8,3752;9,51687;1208,680054;1,5088;9,15309;13,44012;3,9179;61,894218
2017.03.27;7,723529;16,808924;42,939999;204,199997;9,985;NaN;106,699326;1,475462;6,063836;10,399983;65,055344;3,115684;13,507647;9,43331;11,561806;7,719719;2,806824;11,781438;3,58982;18,579988;0,54;27,650253;3,285443;57,32954;0,0335;1,054988;69,214287;32,103207;164,674377;78,776978;35,231239;79,839363;164,733368;14,335803;125,296066;107,617355;156,14032;60,179462;33,053093;18,014668;167,440002;26,71463;27,774113;107,368073;85,467133;73,649361;20,255674;62,426632;27,119719;76,702995;60,268295;82,151848;26,037125;50,588696;24,163118;28,222897;37,114075;108,080002;94,036606;40,632263;40,315113;32,666485;50,431889;40,975498;47,73;1255,400024;3,052;372,600006;76,940002;420,75;355,75;139,199997;2,625;2338,5;20497;5379;20124;24193,699219;18985,589844;2,373;12,5;962,955811;1,084952;119,915001;0,86671;1,07171;1,44524;1,42108;1,53961;7,4244;8,42427;9,52459;1205,459961;1,51374;9,17309;13,44853;3,90619;61,557301
