Date;BOTZ;ICLN;VV;ISP.MI;STLA.MI;ENI.MI;RACE.MI;ENEL.MI;STM.MI;G.MI;UCG.MI;CNHI.MI;SRG.MI;EXO.MI;TEN.MI;ATL.MI;TRN.MI;MONC.MI;CFR.SW;AA;BA;CAT;KO;DD;GE;HPQ;IBM;DIS;MMM;MSFT;AAPL;TSLA;BRK-B;NVDA;TSM;FB;JNJ;V;JPM;BAC;WMT;TCEHY;PG;XOM;CVX;PFE;ABBV;BHP;CSCO;VZ;BABA;PEP;ORCL;ABT;CMCSA;MRK;GOOG;CL=F;GC=F;NG=F;LBS=F;CT=F;ZW=F;ZC=F;KC=F;HG=F;ES=F;YM=F;NQ=F;FTSEMIB.MI;^HSI;^N225;^TNX;BTC-EUR;EURUSD=X;EURJPY=X;EURGBP=X;EURCHF=X;EURCAD=X;EURAUD=X;EURNZD=X;EURCNY=X;EURHKD=X;EURSEK=X;EURKRW=X;EURSGD=X;EURNOK=X;EURZAR=X;EURTRY=X;EURRUB=X
2016.04.06;NaN;8,010922;84,771378;1,319958;4,165214;8,773847;34,425282;2,729466;4,208912;8,265965;12,379508;4,90132;3,995911;28,526409;8,452685;20,848034;3,872442;13,503203;53,20863;22,533201;115,793625;63,905079;38,443115;57,29306;214,983612;10,227217;108,416908;91,966835;139,442902;50,135105;25,648773;53,084;141,699997;8,77984;21,008701;113,709999;93,337364;75,174728;49,875118;11,786695;60,520763;19,784971;70,608299;61,843628;72,816597;24,752224;45,828533;16,673532;23,25655;41,445786;78,68;87,201797;37,00256;38,541908;27,680807;43,748947;745,690002;37,75;1222,5;1,911;293,799988;58,75;463;358;121,5;2,1405;2060,25;17628;4535;17241;NaN;NaN;1,755;371,512665;1,1382;125,620003;0,804;1,0885;1,49566;1,50855;1,6737;7,3637;8,8275;9,25139;1319,150024;1,5424;9,4852;17,17116;3,22204;77,853951
2016.04.07;NaN;7,878145;83,765709;1,276313;4,001358;8,599348;33,807148;2,678243;4,390472;8,084813;11,646894;4,815806;3,956061;27,704819;8,428556;20,598198;3,818336;13,177263;51,506298;22,485764;114,951836;63,013031;38,155056;56,741825;213,105164;9,985694;107,137749;90,721497;139,735458;49,534801;25,08938;51,439999;140,809998;8,689098;20,803699;113,639999;93,209396;74,569183;48,611488;11,413638;59,801949;19,73711;70,12809;61,145836;72,778214;24,624447;45,377068;16,406044;22,924311;40,268703;77,610001;86,933273;36,294281;38,14798;27,32478;43,583794;740,280029;37,259998;1236,199951;2,018;293,299988;59,029999;457;361,5;119,800003;2,0745;2035;17458;4470,25;16818;20266,05078;15749,83984;1,691;371,970947;1,140498;125,077003;0,80658;1,08959;1,49153;1,49816;1,66936;7,3782;8,8434;9,29057;1315,469971;1,5346;9,48156;17,19426;3,23942;76,93895
2016.04.08;NaN;7,975515;83,963249;1,352986;4,161936;8,969288;34,529892;2,752883;4,493174;8,319641;12,779115;4,986834;3,992288;28,851221;8,911109;20,968639;3,899495;13,391454;52,553886;22,22485;115,74836;63,165947;38,574799;57,113071;214,218323;10,043993;107,932709;90,966797;139,292404;49,498413;25,117123;50,014;141,059998;8,745506;20,729898;110,629997;93,064384;75,001724;48,96769;11,440286;59,661694;19,641394;70,094391;61,769379;73,960594;24,429016;44,741943;16,989035;22,999063;40,408089;77,470001;88,175186;36,648422;37,933109;27,413786;43,536602;739,150024;39,720001;1242,5;1,99;290,5;60,07;460,25;362,25;120,449997;2,0865;2040,75;17485;4467,25;17505;20370,40039;15821,51953;1,72;368,791901;1,137398;123,287003;0,8089;1,0872;1,4944;1,51375;1,67719;7,3091;8,82239;9,2822;1315,189941;1,5383;9,46689;17,33316;3,25716;77,016502
2016.04.11;NaN;8,010922;83,72979;1,376578;4,263527;8,997207;34,577435;2,764591;4,559196;8,420282;13,087145;5,081349;3,974175;30,102716;8,951323;21,028946;3,914953;13,428702;52,379288;23,102463;115,77552;63,403847;38,220898;57,101814;213,661728;10,102291;107,86042;90,825279;139,258972;49,398369;25,20034;49,984001;140,990005;8,799459;20,918501;108,989998;92,953506;74,799866;49,3578;11,520228;59,083138;19,641394;69,698425;61,851044;73,123718;23,970501;44,764893;17,565166;22,940924;39,966686;77,709999;87,520668;36,675652;38,03159;27,342587;43,292828;736,099976;40,360001;1256,699951;1,912;291,200012;60,709999;447,25;356,75;123,349998;2,0885;2034,5;17473;4451,5;17723;20440,81055;15751,12988;1,724;370,404175;1,140303;123,521004;0,80714;1,08723;1,48018;1,5077;1,6731;7,3604;8,84774;9,2926;1311,780029;1,53733;9,3786;17,037901;3,24915;76,534698
2016.04.12;NaN;8,179108;84,528923;1,319958;4,204538;9,046067;34,254105;2,744102;4,408812;8,447119;12,412808;4,986834;3,94157;28,813013;9,015662;20,848034;3,90336;13,428702;53,20863;22,485764;117,187508;64,65271;38,393742;58,069263;214,357483;10,177248;108,135048;91,844193;140,462738;49,707615;25,528582;49,563999;142,399994;8,789652;20,967703;110,610001;93,490913;75,472694;50,273724;11,786695;60,31039;19,880686;69,782684;62,615654;74,8666;24,023117;45,828533;18,319624;22,957537;40,229977;77,860001;88,032539;36,839718;38,335987;27,467188;43,520882;743,090027;42,169998;1259,400024;2,004;296,700012;61,509998;452,5;362,75;124,599998;2,145;2055,75;17637;4490;17445;20504,43945;15928,79004;1,781;373,563538;1,141292;123,171997;0,8016;1,08884;1,47323;1,5023;1,66375;7,3622;8,8458;9,2529;1302,430054;1,53309;9,34939;16,83926;3,22813;76,218948
2016.04.13;NaN;8,303035;85,39093;1,429659;4,404442;9,409026;35,186058;2,796789;4,59404;8,76917;13,728182;5,216372;3,974175;30,265123;9,289105;20,92557;3,90336;13,642891;56,395031;23,221056;118,699089;67,226929;37,891689;58,732975;215,540207;10,527038;109,291328;93,853737;140,930847;50,344311;25,898418;50,905998;144,039993;9,010371;21,459707;110,510002;93,721222;76,616516;52,402386;12,248568;60,617188;20,454998;69,47094;62,971966;74,935692;24,45908;45,627678;19,554193;23,447586;39,718884;79,639999;87,369637;37,650879;39,047577;27,569544;44,008465;751,719971;41,759998;1246,800049;2,036;293;61,630001;461,5;373,5;121,75;2,1675;2076;17828;4547,75;18166;21158,71094;16381,21973;1,762;375,850647;1,138498;123,690002;0,79794;1,08762;1,45332;1,4812;1,64422;7,3494;8,82698;9,19813;1298,439941;1,52921;9,29764;16,746401;3,22664;73,843246
2016.04.14;NaN;8,214515;85,426842;1,436737;4,450322;9,576546;35,661549;2,808497;4,493174;8,936905;14,161092;5,207371;3,985043;30,074055;9,281065;20,968639;3,911089;13,59633;56,26408;23,742878;118,436615;67,158966;37,718868;58,901722;215,818573;10,452083;109,240723;93,051811;140,571411;50,353397;25,912289;50,372002;143,720001;9,034898;20,7463;110,839996;93,695625;77,212471;53,080841;12,559445;60,31039;20,387995;69,657379;63,417366;75,22744;24,541761;45,79763;19,746237;23,464197;39,773087;79,610001;86,564056;37,587086;39,191704;27,520596;44,393822;753,200012;41,5;1225;1,97;287,899994;60,639999;459,75;374;123,150002;2,171;2076,5;17842;4546,25;18329;21337,81055;16911,05078;1,781;376,704254;1,127904;123,410004;0,7946;1,0899;1,4455;1,47231;1,63105;7,2941;8,7464;9,1838;1290,26001;1,52259;9,2828;16,377661;3,20976;74,246452
2016.04.15;NaN;8,170256;85,363991;1,443814;4,378226;9,450908;36,802719;2,786544;4,704077;8,842973;14,30262;5,20287;3,923456;29,395767;9,281065;20,839418;3,884036;13,475267;56,438686;23,742878;118,690033;67,260925;37,941074;58,912971;215,888092;10,427099;109,645454;93,014053;141,089676;50,617184;25,392195;50,902;143,449997;9,106018;20,877501;109,639999;93,985664;76,972168;52,470222;12,435095;60,538307;20,263561;69,903687;63,075886;74,651619;24,429016;45,975327;19,828543;23,173491;39,76535;78,970001;87,075912;37,38657;39,101624;27,578447;44,150024;759;40,360001;1233,099976;1,902;280,5;60,029999;459,75;378,5;122,949997;2,152;2075;17814;4538,5;18257;21316,4707;16848,0293;1,752;380,951263;1,127002;123,160004;0,7966;1,0888;1,44678;1,46458;1,64182;7,293;8,7397;9,16449;1298,079956;1,5351;9,27039;16,39576;3,21253;73,78257
2016.04.18;NaN;8,196811;85,902748;1,450892;4,515864;9,422986;37,116539;2,837767;4,62155;8,822845;14,311245;5,43691;3,956061;29,978523;9,321278;20,977259;3,887901;13,763955;56,395031;23,932631;119,450356;67,328888;38,039829;59,104221;216,096817;10,552023;110,23082;95,740616;141,733398;51,353928;24,844364;50,776001;144,380005;9,06678;20,910301;110,449997;94,62542;78,288979;52,809456;12,586094;61,239586;20,598574;70,353889;63,677174;75,780281;24,511698;46,261173;20,507551;23,414358;40,059612;79,010002;87,033974;37,587086;39,588024;27,805412;44,440998;766,609985;39,779999;1233,599976;1,94;276,200012;62,150002;472,75;381;124;2,164;2086,75;17928;4546,5;18358;21161,5;16275,9502;1,773;379,049255;1,129995;122,019997;0,7969;1,0915;1,4662;1,47911;1,6411;7,2999;8,76091;9,1912;1292,880005;1,53778;9,38918;16,586861;3,22247;77,096451
2016.04.19;NaN;8,267627;86,208031;1,4273;4,653503;9,541647;37,373299;2,872891;4,768265;8,903359;14,233605;5,729458;3,937947;30,685476;9,594725;21,063406;3,872442;14,080581;57,00613;24,976278;120,092987;68,297401;38,352581;59,677937;216,723007;10,643636;104,06633;96,835007;141,816956;51,290264;24,712605;49,473999;145,949997;8,904915;20,631496;112,290001;96,118187;77,616119;53,699921;12,834792;61,160686;20,474144;70,736092;63,996387;77,16227;24,722164;46,485226;21,577513;23,530645;40,33065;79,459999;87,537445;37,423023;39,497955;27,716412;44,716255;753,929993;41,080002;1253;2,088;282,700012;62,689999;486,25;384,5;125,849998;2,223;2093,75;17961;4526,75;18448;21436,21094;16874,43945;1,783;383,43811;1,130902;123,335999;0,79117;1,09074;1,44384;1,4547;1,61932;7,3121;8,76864;9,17479;1291,660034;1,52686;9,28949;16,35326;3,21039;74,283951
