Date;WAVE1;WAVE2;WAVE3;WAVE4;WAVE5
1;0;0,010000833;0,020000666;0,029998498;0,039993331
2;0,010000833;0,020000666;0,029998498;0,039993331;0,049984165
3;0,020000666;0,029998498;0,039993331;0,049984165;0,059969995
4;0,029998498;0,039993331;0,049984165;0,059969995;0,069949836
5;0,039993331;0,049984165;0,059969995;0,069949836;0,079922669
6;0,049984165;0,059969995;0,069949836;0,079922669;0,089887515
7;0,059969995;0,069949836;0,079922669;0,089887515;0,099843368
8;0,069949836;0,079922669;0,089887515;0,099843368;0,109789237
9;0,079922669;0,089887515;0,099843368;0,109789237;0,119724125
10;0,089887515;0,099843368;0,109789237;0,119724125;0,129647031
11;0,099843368;0,109789237;0,119724125;0,129647031;0,139556989
12;0,109789237;0,119724125;0,129647031;0,139556989;0,149452955
13;0,119724125;0,129647031;0,139556989;0,149452955;0,159334004
14;0,129647031;0,139556989;0,149452955;0,159334004;0,169199109
15;0,139556989;0,149452955;0,159334004;0,169199109;0,179047287
16;0,149452955;0,159334004;0,169199109;0,179047287;0,188877553
17;0,159334004;0,169199109;0,179047287;0,188877553;0,198688939
18;0,169199109;0,179047287;0,188877553;0,198688939;0,208480448
19;0,179047287;0,188877553;0,198688939;0,208480448;0,218251094
20;0,188877553;0,198688939;0,208480448;0,218251094;0,227999911
21;0,198688939;0,208480448;0,218251094;0,227999911;0,237725943
22;0,208480448;0,218251094;0,227999911;0,237725943;0,247428179
23;0,218251094;0,227999911;0,237725943;0,247428179;0,257105678
24;0,227999911;0,237725943;0,247428179;0,257105678;0,266757458
25;0,237725943;0,247428179;0,257105678;0,266757458;0,276382565
26;0,247428179;0,257105678;0,266757458;0,276382565;0,285980016
27;0,257105678;0,266757458;0,276382565;0,285980016;0,295548856
28;0,266757458;0,276382565;0,285980016;0,295548856;0,305088162
29;0,276382565;0,285980016;0,295548856;0,305088162;0,314596951
30;0,285980016;0,295548856;0,305088162;0,314596951;0,324074239
31;0,295548856;0,305088162;0,314596951;0,324074239;0,333519161
32;0,305088162;0,314596951;0,324074239;0,333519161;0,342930704
33;0,314596951;0,324074239;0,333519161;0,342930704;0,352307945
34;0,324074239;0,333519161;0,342930704;0,352307945;0,36164993
35;0,333519161;0,342930704;0,352307945;0,36164993;0,370955765
36;0,342930704;0,352307945;0,36164993;0,370955765;0,380224496
37;0,352307945;0,36164993;0,370955765;0,380224496;0,389455199
38;0,36164993;0,370955765;0,380224496;0,389455199;0,398646921
39;0,370955765;0,380224496;0,389455199;0,398646921;0,407798797
40;0,380224496;0,389455199;0,398646921;0,407798797;0,416909903
41;0,389455199;0,398646921;0,407798797;0,416909903;0,425979286
42;0,398646921;0,407798797;0,416909903;0,425979286;0,435006082
43;0,407798797;0,416909903;0,425979286;0,435006082;0,443989307
44;0,416909903;0,425979286;0,435006082;0,443989307;0,452928185
45;0,425979286;0,435006082;0,443989307;0,452928185;0,461821765
46;0,435006082;0,443989307;0,452928185;0,461821765;0,470669121
47;0,443989307;0,452928185;0,461821765;0,470669121;0,479469419
48;0,452928185;0,461821765;0,470669121;0,479469419;0,488221765
49;0,461821765;0,470669121;0,479469419;0,488221765;0,496925265
50;0,470669121;0,479469419;0,488221765;0,496925265;0,505579114
51;0,479469419;0,488221765;0,496925265;0,505579114;0,514182329
52;0,488221765;0,496925265;0,505579114;0,514182329;0,522734165
53;0,496925265;0,505579114;0,514182329;0,522734165;0,531233668
